power,speed,hd,lt,VED,density
300,200,0.08,20,937.50 ,99.92
300,300,0.08,20,625.00 ,99.95
300,400,0.08,20,468.75 ,99.96
300,500,0.08,20,375.00 ,99.97
300,100,0.11,20,1363.64 ,99.52
300,200,0.11,20,681.82 ,99.45
300,300,0.11,20,454.55 ,99.35
300,400,0.11,20,340.91 ,99.08
300,500,0.11,20,272.73 ,99.2
330,200,0.08,20,1031.25 ,99.92
330,300,0.08,20,687.50 ,99.92
330,400,0.08,20,515.63 ,99.96
330,500,0.08,20,412.50 ,99.97
330,100,0.11,20,1500.00 ,99.5
330,200,0.11,20,750.00 ,99.52
330,300,0.11,20,500.00 ,99.48
330,400,0.11,20,375.00 ,99.4
330,500,0.11,20,300.00 ,99.48
350,200,0.08,20,1093.75 ,99.93
350,300,0.08,20,729.17 ,99.97
350,400,0.08,20,546.88 ,99.96
350,500,0.08,20,437.50 ,99.97
350,100,0.11,20,1590.91 ,99.54
350,200,0.11,20,795.45 ,99.7
350,300,0.11,20,530.30 ,99.58
350,400,0.11,20,397.73 ,99.65
350,500,0.11,20,318.18 ,99.5
370,200,0.08,20,1156.25 ,99.96
370,300,0.08,20,770.83 ,99.97
370,400,0.08,20,578.13 ,99.97
370,500,0.08,20,462.50 ,99.99
370,100,0.11,20,1681.82 ,99.62
370,200,0.11,20,840.91 ,99.78
370,300,0.11,20,560.61 ,99.82
370,400,0.11,20,420.45 ,99.73
370,500,0.11,20,336.36 ,99.58
290,442,0.14,30,156.22 ,94.81
290,442,0.2,30,109.35 ,92.86
290,858,0.14,30,80.48 ,94.95
290,858,0.2,30,56.33 ,91.29
350,441,0.14,30,188.96 ,98.95
350,441,0.2,30,132.28 ,97.99
350,858,0.14,30,97.13 ,98.44
350,858,0.2,30,67.99 ,96.27
320,650,0.12,30,136.75 ,98.04
320,650,0.22,30,74.59 ,95.47
320,300,0.17,30,209.15 ,95.47
320,1000,0.17,30,62.75 ,93.83
270,650,0.17,30,81.45 ,92.36
370,650,0.17,30,111.61 ,99.14
320,650,0.17,30,96.53 ,97
320,650,0.17,30,96.53 ,96.6
320,650,0.17,30,96.53 ,96.39
320,650,0.17,30,96.53 ,96.72
320,650,0.17,30,96.53 ,96.45
320,650,0.17,30,96.53 ,96.1
370,650,0.12,30,158.12 ,99.43
370,500,0.09,30,274.07 ,99.22
370,600,0.09,30,228.40 ,99.13
370,700,0.09,30,195.77 ,99.07
370,800,0.09,30,171.30 ,99.26
370,900,0.09,30,152.26 ,99.12
370,1000,0.09,30,137.04 ,98.81
355,500,0.09,30,262.96 ,99.22
355,600,0.09,30,219.14 ,98.99
355,700,0.09,30,187.83 ,99.13
355,800,0.09,30,164.35 ,98.99
355,900,0.09,30,146.09 ,99.01
355,1000,0.09,30,131.48 ,98.72
340,500,0.09,30,251.85 ,99.01
340,600,0.09,30,209.88 ,99.17
340,700,0.09,30,179.89 ,99.1
340,800,0.09,30,157.41 ,98.87
340,900,0.09,30,139.92 ,98.9
340,1000,0.09,30,125.93 ,98.68
320,500,0.09,30,237.04 ,99.13
320,600,0.09,30,197.53 ,98.91
320,700,0.09,30,169.31 ,99
320,800,0.09,30,148.15 ,98.93
320,900,0.09,30,131.69 ,98.64
320,1000,0.09,30,118.52 ,98.48
