source_row,group_id,outer_cv_fold
1,condition_0001,1
2,condition_0002,4
3,condition_0003,4
5,condition_0005,2
6,condition_0006,2
7,condition_0007,1
8,condition_0008,2
9,condition_0009,5
11,condition_0011,2
13,condition_0013,3
14,condition_0014,5
15,condition_0015,3
16,condition_0016,1
17,condition_0017,1
19,condition_0019,5
20,condition_0020,3
21,condition_0021,3
22,condition_0022,2
23,condition_0023,5
24,condition_0024,2
25,condition_0025,5
26,condition_0026,4
27,condition_0027,5
29,condition_0029,4
30,condition_0030,3
31,condition_0031,3
32,condition_0032,3
34,condition_0034,3
36,condition_0036,5
37,condition_0037,4
38,condition_0038,3
39,condition_0039,2
40,condition_0040,3
41,condition_0041,1
42,condition_0042,2
43,condition_0043,4
44,condition_0044,1
46,condition_0046,4
48,condition_0048,5
49,condition_0049,4
56,condition_0051,2
57,condition_0052,4
59,condition_0054,5
60,condition_0055,2
61,condition_0056,4
62,condition_0057,1
64,condition_0059,1
65,condition_0060,4
66,condition_0061,1
67,condition_0062,5
68,condition_0063,1
69,condition_0064,5
71,condition_0066,2
73,condition_0068,4
74,condition_0069,1
76,condition_0071,3
77,condition_0072,3
78,condition_0073,1
79,condition_0074,2
80,condition_0075,5
