max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,mean_outer_R2,std_outer_R2,median_best_rounds,fold_1_R2,fold_2_R2,fold_3_R2,fold_4_R2,fold_5_R2,fold_1_best_rounds,fold_2_best_rounds,fold_3_best_rounds,fold_4_best_rounds,fold_5_best_rounds
7,0.1,600,1.0,1.0,3,2.0,0.0,0.7902053339968023,0.1129860553409011,25,0.6011684080503994,0.8710916127056334,0.9249905594965195,0.8158106389483859,0.7379654507830729,23,41,67,25,11
7,0.1,900,1.0,1.0,3,2.0,0.0,0.7902053339968023,0.1129860553409011,25,0.6011684080503994,0.8710916127056334,0.9249905594965195,0.8158106389483859,0.7379654507830729,23,41,67,25,11
7,0.1,1200,1.0,1.0,3,2.0,0.0,0.7902053339968023,0.1129860553409011,25,0.6011684080503994,0.8710916127056334,0.9249905594965195,0.8158106389483859,0.7379654507830729,23,41,67,25,11
5,0.1,600,1.0,1.0,3,2.0,0.0,0.7892769990828133,0.11473282959800393,25,0.5957654024325261,0.8748085858886316,0.9224762342583138,0.8153693220515228,0.7379654507830729,23,42,69,25,11
5,0.1,900,1.0,1.0,3,2.0,0.0,0.7892769990828133,0.11473282959800393,25,0.5957654024325261,0.8748085858886316,0.9224762342583138,0.8153693220515228,0.7379654507830729,23,42,69,25,11
5,0.1,1200,1.0,1.0,3,2.0,0.0,0.7892769990828133,0.11473282959800393,25,0.5957654024325261,0.8748085858886316,0.9224762342583138,0.8153693220515228,0.7379654507830729,23,42,69,25,11
3,0.02,600,1.0,0.8,3,1.0,0.0,0.7843679599497905,0.13594673547172767,115,0.5499034549229154,0.9077173536621015,0.9148380480759932,0.8247361802564003,0.724644762831542,110,218,219,115,46
3,0.02,900,1.0,0.8,3,1.0,0.0,0.7843679599497905,0.13594673547172767,115,0.5499034549229154,0.9077173536621015,0.9148380480759932,0.8247361802564003,0.724644762831542,110,218,219,115,46
3,0.02,1200,1.0,0.8,3,1.0,0.0,0.7843679599497905,0.13594673547172767,115,0.5499034549229154,0.9077173536621015,0.9148380480759932,0.8247361802564003,0.724644762831542,110,218,219,115,46
3,0.05,600,1.0,0.8,3,1.0,0.0,0.7837197272998427,0.12141300921952644,46,0.5755838633787724,0.9056105255410547,0.8947762952438932,0.8093029409262089,0.7333250114092841,46,84,115,42,19
3,0.05,900,1.0,0.8,3,1.0,0.0,0.7837197272998427,0.12141300921952644,46,0.5755838633787724,0.9056105255410547,0.8947762952438932,0.8093029409262089,0.7333250114092841,46,84,115,42,19
3,0.05,1200,1.0,0.8,3,1.0,0.0,0.7837197272998427,0.12141300921952644,46,0.5755838633787724,0.9056105255410547,0.8947762952438932,0.8093029409262089,0.7333250114092841,46,84,115,42,19
7,0.02,600,1.0,0.8,1,1.0,0.1,0.7832295154235782,0.1456210608472296,160,0.5568010751006655,0.9316782203234538,0.9522357655992049,0.7404166696286302,0.7350158464659372,160,279,390,135,46
