power,speed,VED,T,t,UTS,EC
600,600,277.7777778,623,15,,13.55
600,600,277.7777778,623,30,,16.82
600,600,277.7777778,623,45,,19.27
600,600,277.7777778,623,60,,20.74
600,600,277.7777778,623,90,,22.54
600,600,277.7777778,623,120,,22.87
600,600,277.7777778,623,240,,25.35
600,600,277.7777778,623,360,,26.68
600,600,277.7777778,623,480,,27.85
600,600,277.7777778,623,600,,28.69
600,600,277.7777778,673,15,,26.1137645
600,600,277.7777778,673,30,,28.7276072
600,600,277.7777778,673,45,,31.6674292
600,600,277.7777778,673,60,,33.3027013
600,600,277.7777778,673,90,,35.5934101
600,600,277.7777778,673,120,,37.2315278
600,600,277.7777778,673,240,,41.6637095
600,600,277.7777778,673,360,,43.8121383
600,600,277.7777778,673,480,,44.8182163
600,600,277.7777778,673,600,,47.1294767
600,600,277.7777778,723,15,,38.5129968
600,600,277.7777778,723,30,,43.0846129
600,600,277.7777778,723,45,,46.0247511
600,600,277.7777778,723,60,,47.8228548
600,600,277.7777778,723,90,,51.0924504
600,600,277.7777778,723,120,,51.5888497
600,600,277.7777778,723,240,,54.879313
600,600,277.7777778,723,360,,56.0482227
600,600,277.7777778,723,480,,58.6857787
600,600,277.7777778,723,600,,59.2024134
600,600,277.7777778,773,15,,53.6857415
600,600,277.7777778,773,30,,57.2784709
600,600,277.7777778,773,45,,58.4239834
600,600,277.7777778,773,60,,59.0800525
600,600,277.7777778,773,90,,60.3918746
600,600,277.7777778,773,120,,62.6825834
600,600,277.7777778,773,240,,64.99416
600,600,277.7777778,773,360,,66.815977
600,600,277.7777778,773,480,,67.4957595
600,600,277.7777778,773,600,,68.6649853
