power,speed,VED,T,t,UTS,EC
465,400,484.375,273,0,337,
465,450,382.7160494,273,0,258,
475,300,753.968254,273,0,242,
475,350,565.4761905,273,0,434,
475,400,439.8148148,273,0,460,
475,450,586.4197531,273,0,305,
485,300,673.6111111,273,0,342,
485,350,513.2275132,273,0,304,
485,400,673.6111111,273,0,208,
485,450,513.2275132,273,0,180,
495,300,611.1111111,273,0,312,
495,350,785.7142857,273,0,273,
495,400,589.2857143,273,0,335,
495,450,458.3333333,273,0,210,
450,850,352.9411765,273,0,278.92,
340,400,236.1111111,273,0,243.73,
380,600,263.8888889,273,0,254.6,
440,500,366.6666667,273,0,230,
360,790,151.8987342,273,0,294,
360,790,151.8987342,743,60,569.7,
360,790,151.8987342,773,60,534,
360,790,151.8987342,803,60,486.1,
360,790,151.8987342,743,30,536.68708,
360,790,151.8987342,743,60,569.7,
360,790,151.8987342,743,120,553.8162,
360,790,151.8987342,773,30,552.32671,
360,790,151.8987342,773,60,516.95137,
360,790,151.8987342,773,120,509.13156,
360,790,151.8987342,803,30,521.9903,
360,790,151.8987342,803,60,502.99933,
360,790,151.8987342,803,120,485.12548,
600,1000,100,273,0,340,
370,267,577.4032459,273,0,279,
420,267,655.4307116,273,0,214,
470,267,733.4581773,273,0,205,
370,200,770.8333333,273,0,305,
420,200,875,273,0,329,
470,200,979.1666667,273,0,256,
430,550,434.3434343,273,0,332,
430,550,325.7575758,273,0,284,
430,550,260.6060606,273,0,232,
430,750,318.5185185,273,0,336,
430,750,238.8888889,273,0,327,
430,750,191.1111111,273,0,306,
430,950,251.4619883,273,0,318,
430,950,188.5964912,273,0,279,
430,950,150.877193,273,0,258,
500,550,505.0505051,273,0,291,
500,550,378.7878788,273,0,219,
500,550,303.030303,273,0,182,
500,750,370.3703704,273,0,300,
500,750,277.7777778,273,0,264,
500,750,222.2222222,273,0,256,
500,950,292.3976608,273,0,270,
500,950,219.2982456,273,0,210,
500,950,175.4385965,273,0,200,
570,550,575.7575758,273,0,239,
570,550,431.8181818,273,0,189,
570,550,345.4545455,273,0,178,
570,750,422.2222222,273,0,297,
570,750,316.6666667,273,0,240,
570,750,253.3333333,273,0,224,
570,950,333.3333333,273,0,247,
570,950,250,273,0,205,
570,950,200,273,0,196,
370,450,391.5343915,273,0,258.36,
370,450,391.5343915,823,60,462,
370,450,391.5343915,823,180,439,
370,450,391.5343915,823,360,400,
370,200,925,273,0,281,
370,400,578.125,853,300,366,
440,400,183.3333333,273,0,156,
500,400,208.3333333,273,0,107,
370,650,158.1196581,273,0,321,
360,790,151.8987342,273,0,338,
370,500,462.5,273,0,287,
370,500,462.5,853,300,466,
370,500,462.5,273,0,287,
370,500,462.5,853,300,466,
370,500,462.5,273,0,207,
420,250,509.0909091,273,0,257,
420,300,466.6666667,273,0,267,
420,350,444.4444444,273,0,254,
420,400,437.5,273,0,245,
