power,speed,VED,T,t,UTS,EC
475,400,439.8148148,273,0,447,30
475,400,439.8148148,773,60,566,64
475,400,439.8148148,773,120,554,78
475,400,439.8148148,823,60,420,83
400,200,740.7407407,273,0,276,20.3
370,800,256.9444444,273,0,239,18.3
370,800,256.9444444,853,300,319,67.17
370,400,308.3333333,273,0,247.2,33.2
370,400,308.3333333,723,120,415.6,77.1
370,400,308.3333333,723,240,481.7,73.9
370,800,171.2962963,273,0,264.6,28.4
370,800,171.2962963,673,120,383.7,57.3
370,800,171.2962963,723,120,516.7,71.7
370,800,171.2962963,748,120,519.3,78.7
370,800,171.2962963,773,120,472.8,81.9
370,800,171.2962963,813,120,400.6,86.6
370,800,171.2962963,853,120,359.3,87.4
370,800,171.2962963,873,120,324.9,88.2
370,800,171.2962963,893,120,300.3,87.9
480,700,228.5714286,273,0,305,24
480,700,228.5714286,763,360,585,72
400,200,740.7407407,273,0,279,19.1
400,200,740.7407407,273,0,269,19.3
480,700,228.5714286,273,0,305,14.3
480,700,228.5714286,763,60,585,41.6
480,700,228.5714286,763,60,585,41.6
480,700,228.5714286,273,0,305,14.3
370,400,308.3333333,723,120,415.6,77.1
370,400,308.3333333,723,240,481.7,73.9
370,400,308.3333333,273,0,247.2,33.2
400,600,202.020202,773,120,370,39.2
400,600,202.020202,773,120,355,44.6
370,800,256.94,273,0,281,18.3
370,800,256.94,853,300,363,67.17
420,350,444.4444444,773,60,490,72.8
420,350,444.4444444,823,60,399,75.5
420,350,444.4444444,873,60,325,80.5
