target,kernel,feature,normalized_inverse_lengthscale
UTS,Matern,power,0.2923295823214629
UTS,Matern,speed,1.0
UTS,Matern,VED,0.5223827920102619
UTS,Matern,T,0.4952436881752534
UTS,Matern,t,0.42323161657567243
UTS,Matern,LED,0.37928245973782804
UTS,Matern,VEDxT,0.4769948799056632
UTS,Matern,VEDxt,0.4254765138199287
UTS,Matern,T_div_t,0.37923431320086615
UTS,Matern,T_sq,0.49567383139531024
UTS,Matern,t_sq,0.4598933404523151
UTS,Matern,VED_div_T,0.4476180126489687
UTS,RBF,power,0.4586738398715371
UTS,RBF,speed,0.6142891627861243
UTS,RBF,VED,0.6188516351926866
UTS,RBF,T,0.9431591080258177
UTS,RBF,t,0.8001499764219783
UTS,RBF,LED,0.6204884641454504
UTS,RBF,VEDxT,0.7894440016114603
UTS,RBF,VEDxt,0.7806995000040281
UTS,RBF,T_div_t,0.8056036153763718
UTS,RBF,T_sq,1.0
UTS,RBF,t_sq,0.84473317141135
UTS,RBF,VED_div_T,0.749919388778534
EC,Matern,power,0.7376010221956422
EC,Matern,speed,1.0
EC,Matern,VED,0.9463595422694185
EC,Matern,T,0.7600081117835294
EC,Matern,t,0.5945082879063347
EC,Matern,LED,0.9090524154015058
EC,Matern,VEDxT,0.8555444657888717
EC,Matern,VEDxt,0.597759167584652
EC,Matern,T_div_t,0.540367343879826
EC,Matern,T_sq,0.5856802686210231
EC,Matern,t_sq,0.5954096277572876
EC,Matern,VED_div_T,0.8300070106429076
EC,RBF,power,0.6578411458539187
EC,RBF,speed,1.0
EC,RBF,VED,0.7978116089843402
EC,RBF,T,0.7071129470762378
EC,RBF,t,0.5278686331051369
EC,RBF,LED,0.7948348352123681
EC,RBF,VEDxT,0.739900510481163
EC,RBF,VEDxt,0.5294959217340555
EC,RBF,T_div_t,0.4920754680318001
EC,RBF,T_sq,0.5594808577750582
EC,RBF,t_sq,0.5171560915645637
EC,RBF,VED_div_T,0.920256742682336
